"province","date","confirmed","deaths","recovered","tested","ICU","hospital","population","Lat","Long","confirmed_dailyAvg7","confirmed_1M","deaths_dailyAvg7","deaths_1M","caseFatality","recovered_dailyAvg7","recovered_1M","tested_daily","tested_1M"
"Canada",2020-01-26,1,0,0,0,0,0,37949851,56.130367,-106.346771,NA,0.0263505645911495,NA,0,0,NA,0,0,0
"Alberta",2020-01-27,0,0,0,0,0,0,4345737,53.9333,-116.5765,NA,0,NA,0,0,NA,0,0,0
"British Columbia",2020-01-27,0,0,0,0,0,0,5020302,53.7267,-127.6476,NA,0,NA,0,0,NA,0,0,0
"Manitoba",2020-01-27,0,0,0,0,0,0,1360396,53.7609,-98.8139,NA,0,NA,0,0,NA,0,0,0
"New Brunswick",2020-01-27,0,0,0,0,0,0,772094,46.5653,-66.4619,NA,0,NA,0,0,NA,0,0,0
"Newfoundland and Labrador",2020-01-27,0,0,0,0,0,0,523790,53.1355,-57.6604,NA,0,NA,0,0,NA,0,0,0
"Nova Scotia",2020-01-27,0,0,0,0,0,0,965382,44.682,-63.7443,NA,0,NA,0,0,NA,0,0,0
"Northwest Territories",2020-01-27,0,0,0,0,0,0,44598,64.8255,-124.8457,NA,0,NA,0,0,NA,0,0,0
"Ontario",2020-01-27,2,0,0,0,0,0,14446515,51.2538,-85.3232,NA,0.138441693377261,NA,0,0,NA,0,0,0
"Prince Edward Island",2020-01-27,0,0,0,0,0,0,154748,46.5107,-63.4168,NA,0,NA,0,0,NA,0,0,0
"Quebec",2020-01-27,0,0,0,0,0,0,8433301,52.9399,-73.5491,NA,0,NA,0,0,NA,0,0,0
"Repatriated",2020-01-27,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA
"Saskatchewan",2020-01-27,0,0,0,0,0,0,1168423,52.9399,-106.4509,NA,0,NA,0,0,NA,0,0,0
"Yukon",2020-01-27,0,0,0,0,0,0,40369,64.2823,-135,NA,0,NA,0,0,NA,0,0,0
"Canada",2020-01-27,2,0,0,0,0,0,37949851,56.130367,-106.346771,NA,0.052701129182299,NA,0,0,NA,0,0,0
"Alberta",2020-01-28,0,0,0,0,0,0,4345737,53.9333,-116.5765,NA,0,NA,0,0,NA,0,0,0
"British Columbia",2020-01-28,1,0,0,0,0,0,5020302,53.7267,-127.6476,NA,0.199191204035136,NA,0,0,NA,0,0,0
"Manitoba",2020-01-28,0,0,0,0,0,0,1360396,53.7609,-98.8139,NA,0,NA,0,0,NA,0,0,0
"New Brunswick",2020-01-28,0,0,0,0,0,0,772094,46.5653,-66.4619,NA,0,NA,0,0,NA,0,0,0
"Newfoundland and Labrador",2020-01-28,0,0,0,0,0,0,523790,53.1355,-57.6604,NA,0,NA,0,0,NA,0,0,0
"Nova Scotia",2020-01-28,0,0,0,0,0,0,965382,44.682,-63.7443,NA,0,NA,0,0,NA,0,0,0
"Northwest Territories",2020-01-28,0,0,0,0,0,0,44598,64.8255,-124.8457,NA,0,NA,0,0,NA,0,0,0
"Ontario",2020-01-28,2,0,0,0,0,0,14446515,51.2538,-85.3232,NA,0.138441693377261,NA,0,0,NA,0,0,0
"Prince Edward Island",2020-01-28,0,0,0,0,0,0,154748,46.5107,-63.4168,NA,0,NA,0,0,NA,0,0,0
"Quebec",2020-01-28,0,0,0,0,0,0,8433301,52.9399,-73.5491,NA,0,NA,0,0,NA,0,0,0
"Repatriated",2020-01-28,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA
"Saskatchewan",2020-01-28,0,0,0,0,0,0,1168423,52.9399,-106.4509,NA,0,NA,0,0,NA,0,0,0
"Yukon",2020-01-28,0,0,0,0,0,0,40369,64.2823,-135,NA,0,NA,0,0,NA,0,0,0
"Canada",2020-01-28,3,0,0,0,0,0,37949851,56.130367,-106.346771,NA,0.0790516937734485,NA,0,0,NA,0,0,0
"Alberta",2020-01-29,0,0,0,0,0,0,4345737,53.9333,-116.5765,NA,0,NA,0,0,NA,0,0,0
"British Columbia",2020-01-29,1,0,0,0,0,0,5020302,53.7267,-127.6476,NA,0.199191204035136,NA,0,0,NA,0,0,0
"Manitoba",2020-01-29,0,0,0,0,0,0,1360396,53.7609,-98.8139,NA,0,NA,0,0,NA,0,0,0
"New Brunswick",2020-01-29,0,0,0,0,0,0,772094,46.5653,-66.4619,NA,0,NA,0,0,NA,0,0,0
"Newfoundland and Labrador",2020-01-29,0,0,0,0,0,0,523790,53.1355,-57.6604,NA,0,NA,0,0,NA,0,0,0
"Nova Scotia",2020-01-29,0,0,0,0,0,0,965382,44.682,-63.7443,NA,0,NA,0,0,NA,0,0,0
"Northwest Territories",2020-01-29,0,0,0,0,0,0,44598,64.8255,-124.8457,NA,0,NA,0,0,NA,0,0,0
"Ontario",2020-01-29,2,0,0,0,0,0,14446515,51.2538,-85.3232,NA,0.138441693377261,NA,0,0,NA,0,0,0
"Prince Edward Island",2020-01-29,0,0,0,0,0,0,154748,46.5107,-63.4168,NA,0,NA,0,0,NA,0,0,0
"Quebec",2020-01-29,0,0,0,0,0,0,8433301,52.9399,-73.5491,NA,0,NA,0,0,NA,0,0,0
"Repatriated",2020-01-29,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA
"Saskatchewan",2020-01-29,0,0,0,0,0,0,1168423,52.9399,-106.4509,NA,0,NA,0,0,NA,0,0,0
"Yukon",2020-01-29,0,0,0,0,0,0,40369,64.2823,-135,NA,0,NA,0,0,NA,0,0,0
"Canada",2020-01-29,3,0,0,0,0,0,37949851,56.130367,-106.346771,NA,0.0790516937734485,NA,0,0,NA,0,0,0
"Alberta",2020-01-30,0,0,0,0,0,0,4345737,53.9333,-116.5765,NA,0,NA,0,0,NA,0,0,0
"British Columbia",2020-01-30,1,0,0,0,0,0,5020302,53.7267,-127.6476,NA,0.199191204035136,NA,0,0,NA,0,0,0
"Manitoba",2020-01-30,0,0,0,0,0,0,1360396,53.7609,-98.8139,NA,0,NA,0,0,NA,0,0,0
